product_name,SKU,UPC,safety_stock,ltd,mfg_id,catalog_id,onhand,bin_name,external_fulfiller_location_id,internal_fulfiller_location_id
'','8888010248','8888010248',0,0.0,11416,0,2,'Default','440008',51357
'','8888001243','8888001243',0,83.0,11416,0,1,'Default','440001',50564
'','8888012808','8888012808',0,93.0,11416,0,1,'Default','440012',52148
'','8888013442','8888013442',0,0.0,11416,0,1,'Default','440013',50566
'','8888014421','8888014421',0,0.0,11416,0,1,'Default','440012',52148
'','8888008475','8888008475',0,75.0,11416,0,1,'Default','440001',50564
'','8888018395','8888018395',0,67.0,11416,0,1,'Default','440009',49749
'','8888021428','8888021428',0,97.0,11416,0,5,'Default','440012',52148
'','8888024637','8888024637',0,67.0,11416,0,1,'Default','440006',50565
'','8888023443','8888023443',0,86.0,11416,0,1,'Default','440004',49747
'','8888028853','8888028853',0,0.0,11416,0,1,'Default','440009',49749
'','8888032133','8888032133',0,0.0,11416,0,1,'Default','440006',50565
'','8888032133','8888032133',0,67.0,11416,0,1,'Default','440005',52146
'','8888033473','8888033473',0,33.0,11416,0,2,'Default','440006',50565
'','8888033474','8888033474',0,67.0,11416,0,1,'Default','440006',50565
'','8888035116','8888035116',0,0.0,11416,0,1,'Default','440005',52146
'','8888032675','8888032675',0,0.0,11416,0,1,'Default','440004',49747
'','8888032679','8888032679',0,0.0,11416,0,1,'Default','440004',49747
'','8888038404','8888038404',0,50.0,11416,0,1,'Default','440006',50565
'','8888028853','8888028853',0,0.0,11416,0,1,'Default','440001',50564
'','8888029462','8888029462',0,0.0,11416,0,1,'Default','440001',50564
'','8888044366','8888044366',0,0.0,11416,0,1,'Default','440008',51357
'','8888044368','8888044368',0,67.0,11416,0,1,'Default','440008',51357
'','8888044373','8888044373',0,50.0,11416,0,1,'Default','440008',51357
'','8888041652','8888041652',0,67.0,11416,0,1,'Default','440005',52146
'','8888045269','8888045269',0,78.0,11416,0,2,'Default','440008',51357
'','8888046482','8888046482',0,0.0,11416,0,1,'Default','440008',51357
'','8888046483','8888046483',0,67.0,11416,0,1,'Default','440008',51357
