name,fulfiller_id,external_fulfiller_location_id,internal_fulfiller_location_id,description,latitude,longitude,status,safety_stock,mfg_id,catalog_id
'Modell''s Online, Inc.',48590,'146',55034,'General',41.688600,-72.729100,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'150',55035,'General',42.117100,-72.639400,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'152',55036,'General',42.459800,-71.009700,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'154',55037,'General',41.232700,-73.062000,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'159',55038,'General',40.741800,-73.999300,'active',0,10636,0
'Modell''s Online, Inc.',48590,'160',55039,'General',40.008300,-75.010100,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'163',55040,'General',40.593200,-74.619500,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'165',55041,'General',42.377500,-71.131200,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'167',55042,'General',39.946400,-74.916000,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'169',55043,'General',40.786500,-73.978600,'active',0,10636,0
'Modell''s Online, Inc.',48590,'174',55044,'General',40.658600,-73.641700,'active',0,10636,0
'Modell''s Online, Inc.',48590,'176',55045,'General',40.628800,-73.945800,'active',0,10636,0
'Modell''s Online, Inc.',48590,'14',55223,'General',40.770200,-73.826000,'active',0,10636,0
'Modell''s Online, Inc.',48590,'20',55224,'General',40.813000,-73.903700,'active',0,10636,0
'Modell''s Online, Inc.',48590,'23',55225,'General',40.905300,-73.804900,'active',0,10636,0
'Modell''s Online, Inc.',48590,'24',55226,'General',40.102800,-74.929300,'active',0,10636,0
'Modell''s Online, Inc.',48590,'25',55227,'General',39.908100,-75.004600,'inactive',0,10636,0
'Modell''s Online, Inc.',48590,'28',55228,'General',39.922600,-75.303000,'active',0,10636,0
'Modell''s Online, Inc.',48590,'29',55229,'General',40.215500,-75.258600,'active',0,10636,0
'Modell''s Online, Inc.',48590,'33',55230,'General',40.669300,-73.895500,'active',0,10636,0
'Modell''s Online, Inc.',48590,'40',55231,'General',40.686900,-73.469400,'active',0,10636,0
'Modell''s Online, Inc.',48590,'46',55232,'General',40.663200,-73.733200,'active',0,10636,0
'Modell''s Online, Inc.',48590,'47',55233,'General',41.098300,-74.009400,'active',0,10636,0
