external_fulfiller_location_id,internal_fulfiller_location_id,bin_name,bin_type,bin_status
600,54802,9200102,General,Pickable
600,54802,9200201,General,Pickable
600,54802,9200202,General,Pickable
600,54802,9210101,General,Pickable
600,54802,9210102,General,Pickable
600,54802,9210103,General,Pickable
600,54802,9210104,General,Pickable
600,54802,9210105,General,Pickable
600,54802,9210201,General,Pickable
600,54802,9210202,General,Pickable
600,54802,9210203,General,Pickable
600,54802,9210204,General,Pickable
600,54802,9210205,General,Pickable
600,54802,9210301,General,Pickable
600,54802,9210302,General,Pickable
600,54802,9210303,General,Pickable
600,54802,9210304,General,Pickable
600,54802,9210305,General,Pickable
600,54802,9210401,General,Pickable
600,54802,9210402,General,Pickable
600,54802,9210403,General,Pickable
600,54802,9210404,General,Pickable
600,54802,9210405,General,Pickable
600,54802,9220101,General,Pickable
600,54802,9220102,General,Pickable
600,54802,9220201,General,Pickable
600,54802,9220202,General,Pickable
600,54802,9230101,General,Pickable
600,54802,9230102,General,Pickable
600,54802,9230103,General,Pickable
600,54802,9230104,General,Pickable
600,54802,9230105,General,Pickable
600,54802,9230201,General,Pickable
600,54802,9230202,General,Pickable
600,54802,9230203,General,Pickable
600,54802,9230204,General,Pickable
600,54802,9230205,General,Pickable
600,54802,9230301,General,Pickable
600,54802,9230302,General,Pickable
600,54802,9230303,General,Pickable
600,54802,9230304,General,Pickable
600,54802,9230305,General,Pickable
600,54802,9230401,General,Pickable
600,54802,9230402,General,Pickable
600,54802,9230403,General,Pickable
600,54802,9230404,General,Pickable
600,54802,9230405,General,Pickable
600,54802,9240101,General,Pickable
600,54802,9240102,General,Pickable
600,54802,9240201,General,Pickable
600,54802,9240202,General,Pickable
600,54802,9250101,General,Pickable
600,54802,9250102,General,Pickable
600,54802,9250103,General,Pickable
600,54802,9250104,General,Pickable
600,54802,9250105,General,Pickable
600,54802,9250201,General,Pickable
600,54802,9250202,General,Pickable
600,54802,9250203,General,Pickable
600,54802,9250204,General,Pickable
600,54802,9250205,General,Pickable
600,54802,9250301,General,Pickable
600,54802,9250302,General,Pickable
600,54802,9250303,General,Pickable
600,54802,9250304,General,Pickable
600,54802,9250305,General,Pickable
600,54802,9250401,General,Pickable
600,54802,9250402,General,Pickable
600,54802,9250403,General,Pickable
600,54802,9250404,General,Pickable
600,54802,9250405,General,Pickable
600,54802,9260101,General,Pickable
600,54802,9260102,General,Pickable
600,54802,9260201,General,Pickable
600,54802,9260202,General,Pickable
600,54802,9270101,General,Pickable
600,54802,9270102,General,Pickable
600,54802,9270103,General,Pickable
600,54802,9270104,General,Pickable
600,54802,9270105,General,Pickable
600,54802,9270201,General,Pickable
600,54802,9270202,General,Pickable
600,54802,9270203,General,Pickable
