external_fulfiller_location_id,internal_fulfiller_location_id,bin_name,bin_type,bin_status
600,54802,6200403,General,Pickable
600,54802,6200404,General,Pickable
600,54802,6200405,General,Pickable
600,54802,6210101,General,Pickable
600,54802,6210102,General,Pickable
600,54802,6210103,General,Pickable
600,54802,6210104,General,Pickable
600,54802,6210105,General,Pickable
600,54802,6210201,General,Pickable
600,54802,6210202,General,Pickable
600,54802,6210203,General,Pickable
600,54802,6210204,General,Pickable
600,54802,6210205,General,Pickable
600,54802,6210301,General,Pickable
600,54802,6210302,General,Pickable
600,54802,6210303,General,Pickable
600,54802,6210304,General,Pickable
600,54802,6210305,General,Pickable
600,54802,6210401,General,Pickable
600,54802,6210402,General,Pickable
600,54802,6210403,General,Pickable
600,54802,6210404,General,Pickable
600,54802,6210405,General,Pickable
600,54802,6220101,General,Pickable
600,54802,6220102,General,Pickable
600,54802,6220103,General,Pickable
600,54802,6220104,General,Pickable
600,54802,6220105,General,Pickable
600,54802,6220201,General,Pickable
600,54802,6220202,General,Pickable
600,54802,6220203,General,Pickable
600,54802,6220204,General,Pickable
600,54802,6220205,General,Pickable
600,54802,6220301,General,Pickable
600,54802,6220302,General,Pickable
600,54802,6220303,General,Pickable
600,54802,6220304,General,Pickable
600,54802,6220305,General,Pickable
600,54802,6220401,General,Pickable
600,54802,6220402,General,Pickable
600,54802,6220403,General,Pickable
600,54802,6220404,General,Pickable
600,54802,6220405,General,Pickable
600,54802,6230101,General,Pickable
600,54802,6230102,General,Pickable
600,54802,6230103,General,Pickable
600,54802,6230104,General,Pickable
600,54802,6230105,General,Pickable
600,54802,6230201,General,Pickable
600,54802,6230202,General,Pickable
600,54802,6230203,General,Pickable
600,54802,6230204,General,Pickable
600,54802,6230205,General,Pickable
600,54802,6230301,General,Pickable
600,54802,6230302,General,Pickable
600,54802,6230303,General,Pickable
600,54802,6230304,General,Pickable
600,54802,6230305,General,Pickable
600,54802,6230401,General,Pickable
600,54802,6230402,General,Pickable
600,54802,6230403,General,Pickable
600,54802,6230404,General,Pickable
600,54802,6230405,General,Pickable
600,54802,6240101,General,Pickable
600,54802,6240102,General,Pickable
600,54802,6240103,General,Pickable
600,54802,6240104,General,Pickable
600,54802,6240105,General,Pickable
600,54802,6240201,General,Pickable
600,54802,6240202,General,Pickable
600,54802,6240203,General,Pickable
600,54802,6240204,General,Pickable
600,54802,6240205,General,Pickable
600,54802,6240301,General,Pickable
600,54802,6240302,General,Pickable
600,54802,6240303,General,Pickable
600,54802,6240304,General,Pickable
600,54802,6240305,General,Pickable
600,54802,6240401,General,Pickable
600,54802,6240402,General,Pickable
600,54802,6240403,General,Pickable
600,54802,6240404,General,Pickable
600,54802,6240405,General,Pickable
600,54802,6250101,General,Pickable
600,54802,6250102,General,Pickable
600,54802,6250103,General,Pickable
600,54802,6250104,General,Pickable
600,54802,6250105,General,Pickable
600,54802,6250201,General,Pickable
600,54802,6250202,General,Pickable
600,54802,6250203,General,Pickable
600,54802,6250204,General,Pickable
600,54802,6250205,General,Pickable
600,54802,6250301,General,Pickable
600,54802,6250302,General,Pickable
600,54802,6250303,General,Pickable
600,54802,6250304,General,Pickable
600,54802,6250305,General,Pickable
600,54802,6250401,General,Pickable
600,54802,6250402,General,Pickable
600,54802,6250403,General,Pickable
600,54802,6250404,General,Pickable
600,54802,6250405,General,Pickable
600,54802,6260101,General,Pickable
600,54802,6260102,General,Pickable
600,54802,6260103,General,Pickable
600,54802,6260104,General,Pickable
600,54802,6260105,General,Pickable
600,54802,6260201,General,Pickable
600,54802,6260202,General,Pickable
600,54802,6260203,General,Pickable
600,54802,6260204,General,Pickable
600,54802,6260205,General,Pickable
600,54802,6260301,General,Pickable
600,54802,6260302,General,Pickable
600,54802,6260303,General,Pickable
600,54802,6260304,General,Pickable
600,54802,6260305,General,Pickable
600,54802,6260401,General,Pickable
600,54802,6260402,General,Pickable
600,54802,6260403,General,Pickable
600,54802,6260404,General,Pickable
600,54802,6260405,General,Pickable
600,54802,6270101,General,Pickable
600,54802,6270102,General,Pickable
600,54802,6270103,General,Pickable
600,54802,6270104,General,Pickable
600,54802,6270105,General,Pickable
600,54802,6270201,General,Pickable
600,54802,6270202,General,Pickable
600,54802,6270203,General,Pickable
600,54802,6270204,General,Pickable
600,54802,6270205,General,Pickable
600,54802,6270301,General,Pickable
600,54802,6270302,General,Pickable
600,54802,6270303,General,Pickable
600,54802,6270304,General,Pickable
600,54802,6270305,General,Pickable
600,54802,6270401,General,Pickable
600,54802,6270402,General,Pickable
600,54802,6270403,General,Pickable
600,54802,6270404,General,Pickable
600,54802,6270405,General,Pickable
600,54802,6280101,General,Pickable
600,54802,6280102,General,Pickable
600,54802,6280103,General,Pickable
600,54802,6280104,General,Pickable
600,54802,6280105,General,Pickable
600,54802,6280201,General,Pickable
600,54802,6280202,General,Pickable
600,54802,6280203,General,Pickable
600,54802,6280204,General,Pickable
600,54802,6280205,General,Pickable
600,54802,6280301,General,Pickable
600,54802,6280302,General,Pickable
600,54802,6280303,General,Pickable
600,54802,6280304,General,Pickable
600,54802,6280305,General,Pickable
600,54802,6280401,General,Pickable
600,54802,6280402,General,Pickable
600,54802,6280403,General,Pickable
600,54802,6280404,General,Pickable
600,54802,6280405,General,Pickable
600,54802,6290101,General,Pickable
600,54802,6290102,General,Pickable
600,54802,6290103,General,Pickable
600,54802,6290104,General,Pickable
600,54802,6290105,General,Pickable
600,54802,6290201,General,Pickable
600,54802,6290202,General,Pickable
600,54802,6290203,General,Pickable
600,54802,6290204,General,Pickable
600,54802,6290205,General,Pickable
600,54802,6290301,General,Pickable
600,54802,6290302,General,Pickable
600,54802,6290303,General,Pickable
600,54802,6290304,General,Pickable
600,54802,6290305,General,Pickable
600,54802,6290401,General,Pickable
600,54802,6290402,General,Pickable
600,54802,6290403,General,Pickable
600,54802,6290404,General,Pickable
600,54802,6290405,General,Pickable
600,54802,6300101,General,Pickable
600,54802,6300102,General,Pickable
600,54802,6300103,General,Pickable
