external_fulfiller_location_id,internal_fulfiller_location_id,bin_name,bin_type,bin_status
600,54802,51220601,General,Pickable
600,54802,51220602,General,Pickable
600,54802,51220603,General,Pickable
600,54802,51220604,General,Pickable
600,54802,51220605,General,Pickable
600,54802,51220701,General,Pickable
600,54802,51220702,General,Pickable
600,54802,51220703,General,Pickable
600,54802,51220704,General,Pickable
600,54802,51220705,General,Pickable
600,54802,51220801,General,Pickable
600,54802,51220802,General,Pickable
600,54802,51220803,General,Pickable
600,54802,51220804,General,Pickable
600,54802,51220805,General,Pickable
600,54802,51220901,General,Pickable
600,54802,51220902,General,Pickable
600,54802,51220903,General,Pickable
600,54802,51220904,General,Pickable
600,54802,51220905,General,Pickable
600,54802,51221001,General,Pickable
600,54802,51221002,General,Pickable
600,54802,51221003,General,Pickable
600,54802,51221004,General,Pickable
600,54802,51221005,General,Pickable
600,54802,51221101,General,Pickable
600,54802,51221102,General,Pickable
600,54802,51221103,General,Pickable
600,54802,51221104,General,Pickable
600,54802,51221105,General,Pickable
600,54802,51230501,General,Pickable
600,54802,51230502,General,Pickable
600,54802,51230503,General,Pickable
600,54802,51230504,General,Pickable
600,54802,51230505,General,Pickable
600,54802,51230601,General,Pickable
600,54802,51230602,General,Pickable
600,54802,51230603,General,Pickable
600,54802,51230604,General,Pickable
600,54802,51230605,General,Pickable
600,54802,51230701,General,Pickable
600,54802,51230702,General,Pickable
600,54802,51230703,General,Pickable
600,54802,51230704,General,Pickable
600,54802,51230705,General,Pickable
600,54802,51230801,General,Pickable
600,54802,51230802,General,Pickable
600,54802,51230803,General,Pickable
600,54802,51230804,General,Pickable
600,54802,51230805,General,Pickable
600,54802,51230901,General,Pickable
600,54802,51230902,General,Pickable
600,54802,51230903,General,Pickable
600,54802,51230904,General,Pickable
600,54802,51230905,General,Pickable
600,54802,51231001,General,Pickable
600,54802,51231002,General,Pickable
600,54802,51231003,General,Pickable
600,54802,51231004,General,Pickable
600,54802,51231005,General,Pickable
600,54802,51231101,General,Pickable
600,54802,51231102,General,Pickable
600,54802,51231103,General,Pickable
600,54802,51231104,General,Pickable
600,54802,51231105,General,Pickable
600,54802,51240501,General,Pickable
600,54802,51240502,General,Pickable
600,54802,51240503,General,Pickable
600,54802,51240504,General,Pickable
600,54802,51240505,General,Pickable
600,54802,51240601,General,Pickable
600,54802,51240602,General,Pickable
600,54802,51240603,General,Pickable
600,54802,51240604,General,Pickable
600,54802,51240605,General,Pickable
600,54802,51240701,General,Pickable
600,54802,51240702,General,Pickable
600,54802,51240703,General,Pickable
600,54802,51240704,General,Pickable
600,54802,51240705,General,Pickable
600,54802,51240801,General,Pickable
600,54802,51240802,General,Pickable
600,54802,51240803,General,Pickable
600,54802,51240804,General,Pickable
600,54802,51240805,General,Pickable
600,54802,51240901,General,Pickable
600,54802,51240902,General,Pickable
600,54802,51240903,General,Pickable
600,54802,51240904,General,Pickable
600,54802,51240905,General,Pickable
600,54802,51241001,General,Pickable
600,54802,51241002,General,Pickable
600,54802,51241003,General,Pickable
600,54802,51241004,General,Pickable
600,54802,51241005,General,Pickable
600,54802,51241101,General,Pickable
600,54802,51241102,General,Pickable
600,54802,51241103,General,Pickable
600,54802,51241104,General,Pickable
600,54802,51241105,General,Pickable
600,54802,51250501,General,Pickable
600,54802,51250502,General,Pickable
600,54802,51250503,General,Pickable
600,54802,51250504,General,Pickable
600,54802,51250505,General,Pickable
600,54802,51250601,General,Pickable
600,54802,51250602,General,Pickable
600,54802,51250603,General,Pickable
600,54802,51250604,General,Pickable
600,54802,51250605,General,Pickable
600,54802,51250701,General,Pickable
600,54802,51250702,General,Pickable
600,54802,51250703,General,Pickable
600,54802,51250704,General,Pickable
600,54802,51250705,General,Pickable
600,54802,51250801,General,Pickable
600,54802,51250802,General,Pickable
600,54802,51250803,General,Pickable
600,54802,51250804,General,Pickable
600,54802,51250805,General,Pickable
600,54802,51250901,General,Pickable
600,54802,51250902,General,Pickable
600,54802,51250903,General,Pickable
600,54802,51250904,General,Pickable
600,54802,51250905,General,Pickable
600,54802,51251001,General,Pickable
600,54802,51251002,General,Pickable
600,54802,51251003,General,Pickable
600,54802,51251004,General,Pickable
600,54802,51251005,General,Pickable
600,54802,51251101,General,Pickable
600,54802,51251102,General,Pickable
600,54802,51251103,General,Pickable
600,54802,51251104,General,Pickable
600,54802,51251105,General,Pickable
600,54802,51260501,General,Pickable
600,54802,51260502,General,Pickable
600,54802,51260503,General,Pickable
600,54802,51260504,General,Pickable
600,54802,51260505,General,Pickable
600,54802,51260601,General,Pickable
600,54802,51260602,General,Pickable
600,54802,51260603,General,Pickable
600,54802,51260604,General,Pickable
600,54802,51260605,General,Pickable
600,54802,51260701,General,Pickable
600,54802,51260702,General,Pickable
600,54802,51260703,General,Pickable
600,54802,51260704,General,Pickable
600,54802,51260705,General,Pickable
600,54802,51260801,General,Pickable
600,54802,51260802,General,Pickable
600,54802,51260803,General,Pickable
600,54802,51260804,General,Pickable
600,54802,51260805,General,Pickable
600,54802,51260901,General,Pickable
600,54802,51260902,General,Pickable
600,54802,51260903,General,Pickable
600,54802,51260904,General,Pickable
600,54802,51260905,General,Pickable
600,54802,51261001,General,Pickable
600,54802,51261002,General,Pickable
600,54802,51261003,General,Pickable
600,54802,51261004,General,Pickable
600,54802,51261005,General,Pickable
