product_name,SKU,UPC,safety_stock,ltd,mfg_id,catalog_id,onhand,bin_name,external_fulfiller_location_id,internal_fulfiller_location_id
,0000000001,0000000001,0,100.0,11416,0,0,Default,440001,50564
,0000000002,0000000002,0,100.0,11416,0,0,Default,440001,50564
,0000000003,0000000003,0,100.0,11416,0,0,Default,440001,50564
,0000000004,0000000004,0,100.0,11416,0,0,Default,440001,50564
,0000000008,0000000008,0,100.0,11416,0,0,Default,440001,50564
,0000000009,0000000009,0,100.0,11416,0,0,Default,440001,50564
,0000000011,0000000011,0,100.0,11416,0,0,Default,440001,50564
,0000000012,0000000012,0,100.0,11416,0,0,Default,440001,50564
,0000000016,0000000016,0,100.0,11416,0,0,Default,440001,50564
,0000000017,0000000017,0,100.0,11416,0,0,Default,440001,50564
,0000000018,0000000018,0,100.0,11416,0,0,Default,440001,50564
,0000000019,0000000019,0,100.0,11416,0,0,Default,440001,50564
,0000000020,0000000020,0,100.0,11416,0,0,Default,440001,50564
,0000000021,0000000021,0,100.0,11416,0,0,Default,440001,50564
,0000000023,0000000023,0,100.0,11416,0,0,Default,440001,50564
,0000000025,0000000025,0,100.0,11416,0,0,Default,440001,50564
,0000000026,0000000026,0,100.0,11416,0,0,Default,440001,50564
,0000000032,0000000032,0,100.0,11416,0,0,Default,440001,50564
,0000000034,0000000034,0,100.0,11416,0,0,Default,440001,50564
,0000000035,0000000035,0,100.0,11416,0,0,Default,440001,50564
,0000000036,0000000036,0,100.0,11416,0,0,Default,440001,50564
,0000000038,0000000038,0,100.0,11416,0,0,Default,440001,50564
,0000000040,0000000040,0,100.0,11416,0,0,Default,440001,50564
,0000000041,0000000041,0,100.0,11416,0,0,Default,440001,50564
,0000000042,0000000042,0,100.0,11416,0,0,Default,440001,50564
,0000000045,0000000045,0,100.0,11416,0,0,Default,440001,50564
,0000000046,0000000046,0,100.0,11416,0,0,Default,440001,50564
,0000000047,0000000047,0,100.0,11416,0,0,Default,440001,50564
,0000000048,0000000048,0,100.0,11416,0,0,Default,440001,50564
,0000000049,0000000049,0,100.0,11416,0,0,Default,440001,50564
,0000000050,0000000050,0,100.0,11416,0,0,Default,440001,50564
,0000000051,0000000051,0,100.0,11416,0,0,Default,440001,50564
,0000000052,0000000052,0,100.0,11416,0,0,Default,440001,50564
,0000000053,0000000053,0,100.0,11416,0,0,Default,440001,50564
,0000000054,0000000054,0,100.0,11416,0,0,Default,440001,50564
,0000000055,0000000055,0,100.0,11416,0,0,Default,440001,50564
,0000000057,0000000057,0,100.0,11416,0,0,Default,440001,50564
,0000000058,0000000058,0,100.0,11416,0,0,Default,440001,50564
,0000000059,0000000059,0,100.0,11416,0,0,Default,440001,50564
,0000000060,0000000060,0,100.0,11416,0,0,Default,440001,50564
,0000000062,0000000062,0,100.0,11416,0,0,Default,440001,50564
,0000000063,0000000063,0,100.0,11416,0,0,Default,440001,50564
,0000000064,0000000064,0,100.0,11416,0,0,Default,440001,50564
,0000000071,0000000071,0,100.0,11416,0,0,Default,440001,50564
,0000000072,0000000072,0,100.0,11416,0,0,Default,440001,50564
,0000000075,0000000075,0,100.0,11416,0,0,Default,440001,50564
,0000000076,0000000076,0,100.0,11416,0,0,Default,440001,50564
,0000000077,0000000077,0,100.0,11416,0,0,Default,440001,50564
,0000000078,0000000078,0,0.0,11416,0,0,Default,440001,50564
,0000000079,0000000079,0,100.0,11416,0,0,Default,440001,50564
,0000000080,0000000080,0,100.0,11416,0,0,Default,440001,50564
,0000000081,0000000081,0,100.0,11416,0,0,Default,440001,50564
,0000000082,0000000082,0,100.0,11416,0,0,Default,440001,50564
,0000000083,0000000083,0,100.0,11416,0,0,Default,440001,50564
,0000000084,0000000084,0,100.0,11416,0,0,Default,440001,50564
,0000000087,0000000087,0,100.0,11416,0,0,Default,440001,50564
,0000000088,0000000088,0,100.0,11416,0,0,Default,440001,50564
,0000000089,0000000089,0,100.0,11416,0,0,Default,440001,50564
,0000000090,0000000090,0,100.0,11416,0,0,Default,440001,50564
,0000000091,0000000091,0,100.0,11416,0,0,Default,440001,50564
,0000000092,0000000092,0,100.0,11416,0,0,Default,440001,50564
,0000000093,0000000093,0,100.0,11416,0,0,Default,440001,50564
,0000000095,0000000095,0,100.0,11416,0,0,Default,440001,50564
,0000000096,0000000096,0,100.0,11416,0,0,Default,440001,50564
,0000000097,0000000097,0,100.0,11416,0,0,Default,440001,50564
,0000000100,0000000100,0,100.0,11416,0,0,Default,440001,50564
,0000000116,0000000116,0,100.0,11416,0,0,Default,440001,50564
,0000000117,0000000117,0,100.0,11416,0,0,Default,440001,50564
,0000000118,0000000118,0,100.0,11416,0,0,Default,440001,50564
,0000000119,0000000119,0,100.0,11416,0,0,Default,440001,50564
,0000000121,0000000121,0,100.0,11416,0,0,Default,440001,50564
,0000000122,0000000122,0,100.0,11416,0,0,Default,440001,50564
,0000000125,0000000125,0,100.0,11416,0,0,Default,440001,50564
,0000000126,0000000126,0,100.0,11416,0,0,Default,440001,50564
,0000000127,0000000127,0,100.0,11416,0,0,Default,440001,50564
,0000000128,0000000128,0,100.0,11416,0,0,Default,440001,50564
,0000000129,0000000129,0,100.0,11416,0,0,Default,440001,50564
,0000000130,0000000130,0,100.0,11416,0,0,Default,440001,50564
,0000000131,0000000131,0,100.0,11416,0,0,Default,440001,50564
,0000000133,0000000133,0,100.0,11416,0,0,Default,440001,50564
,0000000134,0000000134,0,100.0,11416,0,0,Default,440001,50564
,0000000135,0000000135,0,100.0,11416,0,0,Default,440001,50564
,0000000136,0000000136,0,100.0,11416,0,0,Default,440001,50564
